Lat,Lon,Time Range,flag,Vessel IDs,Apparent Fishing Hours
4.450000,-91.190000,2023-02-23,ECU,1,0.02
3.390000,-94.240000,2023-02-20,ECU,1,1.12
3.450000,-90.770000,2023-02-23,ECU,1,0.42
2.770000,-94.290000,2023-02-18,ECU,1,2.53
3.660000,-93.880000,2023-02-03,ECU,1,0.88
3.220000,-93.740000,2023-02-17,ECU,1,0.67
3.330000,-93.930000,2023-02-19,ECU,1,0.67
3.730000,-90.270000,2023-02-08,ECU,1,1.01
4.480000,-92.570000,2023-02-06,ECU,1,0.10
0.420000,-93.150000,2023-02-12,ECU,1,0.49
2.620000,-93.090000,2023-02-18,ECU,1,1.04
0.250000,-93.910000,2023-01-22,ECU,1,0.90
0.190000,-93.930000,2023-01-22,ECU,1,0.94
0.130000,-93.820000,2023-01-21,ECU,1,2.08
0.330000,-93.940000,2023-01-22,ECU,1,0.85
0.280000,-91.620000,2023-01-15,ECU,1,0.83
0.280000,-91.640000,2023-01-17,ECU,1,1.75
0.400000,-94.270000,2023-01-20,ECU,1,1.00
1.330000,-94.410000,2023-01-26,ECU,1,0.15
3.710000,-92.300000,2023-01-31,ECU,1,0.50
0.860000,-93.860000,2023-01-20,ECU,1,0.95
3.940000,-92.860000,2023-01-30,ECU,1,1.25
0.500000,-93.990000,2023-01-22,ECU,1,0.76
1.630000,-87.320000,2023-01-16,ECU,1,0.93
1.770000,-89.750000,2023-01-23,PAN,1,2.15
-0.780000,-89.520000,2023-01-29,ECU,1,1.83
-1.360000,-89.610000,2023-01-25,ECU,1,0.20
-2.110000,-93.670000,2023-01-19,ECU,1,0.12
-1.920000,-92.370000,2023-01-01,ECU,1,0.83
-0.160000,-93.990000,2023-01-27,ECU,1,1.13
-0.550000,-90.860000,2023-01-11,ECU,2,18.53
-2.230000,-92.580000,2023-01-24,ECU,1,0.49
-0.600000,-90.650000,2023-01-11,ECU,1,0.10
-2.460000,-87.020000,2023-01-02,ECU,1,0.85
-1.350000,-89.630000,2023-01-17,ECU,1,1.25
-0.310000,-93.420000,2023-01-30,ECU,1,0.99
-0.300000,-93.410000,2023-01-30,ECU,1,0.20
-0.850000,-92.540000,2023-01-30,ECU,1,0.80
-0.620000,-90.790000,2023-01-22,ECU,1,0.50
-1.140000,-89.890000,2023-01-13,ECU,2,1.25
-0.540000,-90.860000,2023-01-31,ECU,1,11.42
-0.070000,-93.720000,2023-01-16,ECU,1,0.63
-0.780000,-89.520000,2023-02-23,ECU,2,2.52
-4.260000,-91.520000,2023-02-14,ECU,1,0.99
-0.280000,-90.330000,2023-02-12,ECU,1,1.42
-0.780000,-89.520000,2023-02-14,ECU,1,1.06
-0.600000,-92.400000,2023-02-17,ECU,1,0.63
-0.610000,-92.380000,2023-02-18,ECU,1,0.96
-0.580000,-92.390000,2023-02-17,ECU,1,0.14
-1.140000,-89.890000,2023-02-23,ECU,1,1.33
-0.860000,-90.700000,2023-02-27,ECU,1,2.25
-3.160000,-92.800000,2023-02-23,ECU,1,0.25
-1.250000,-93.050000,2023-02-20,ECU,1,1.01
0.530000,-93.980000,2023-04-24,ECU,1,0.90
0.460000,-93.850000,2023-04-23,ECU,1,1.17
0.480000,-94.000000,2023-04-24,ECU,1,0.96
0.520000,-93.950000,2023-04-26,ECU,1,1.05
0.500000,-93.900000,2023-04-19,ECU,1,0.93
0.510000,-94.080000,2023-04-18,ECU,1,1.08
0.620000,-93.770000,2023-04-20,ECU,1,1.05
0.690000,-93.850000,2023-04-17,ECU,1,0.87
0.560000,-93.950000,2023-04-15,ECU,1,1.02
0.100000,-94.140000,2023-04-13,ECU,1,1.25
0.760000,-93.200000,2023-04-30,ECU,1,0.98
0.470000,-93.510000,2023-04-29,ECU,1,0.59
0.650000,-93.840000,2023-04-06,ECU,1,1.02
0.990000,-94.440000,2023-04-03,ECU,1,0.70
4.140000,-90.760000,2023-04-06,ECU,1,1.18
0.390000,-94.640000,2023-04-18,,2,2.10
0.760000,-94.430000,2023-04-17,,1,0.97
0.770000,-94.170000,2023-04-16,,1,0.98
0.720000,-93.100000,2023-04-13,,1,1.07
0.560000,-93.880000,2023-04-22,ECU,1,0.72
0.720000,-93.720000,2023-04-17,ECU,1,1.20
0.820000,-94.460000,2023-04-17,,1,0.33
0.530000,-90.760000,2023-04-10,ECU,1,0.51
0.100000,-93.320000,2023-03-14,ECU,1,1.13
0.290000,-95.020000,2023-03-26,ECU,1,0.22
0.550000,-94.220000,2023-03-09,ECU,1,1.01
-0.130000,-93.550000,2023-03-20,ECU,1,1.26
-4.190000,-92.470000,2023-03-03,ECU,1,1.09
-2.980000,-88.910000,2023-03-11,ECU,1,1.36
-3.280000,-92.870000,2023-03-07,ECU,1,0.87
-3.070000,-89.580000,2023-03-10,ECU,1,0.73
-3.190000,-89.820000,2023-03-09,ECU,1,1.08
-3.120000,-90.300000,2023-03-09,ECU,1,0.74
-3.370000,-88.910000,2023-03-12,ECU,1,0.92
-1.110000,-92.670000,2023-03-04,ECU,1,2.13
-0.790000,-92.910000,2023-03-01,ECU,1,1.98
-0.990000,-92.910000,2023-03-02,ECU,1,0.25
-2.440000,-90.600000,2023-03-07,ECU,1,0.28
-3.250000,-89.370000,2023-03-10,ECU,1,1.18
-2.380000,-93.940000,2023-03-06,,1,0.41
-0.900000,-89.610000,2023-03-15,ECU,1,6.50
-0.780000,-89.520000,2023-03-07,ECU,1,2.05
-0.640000,-90.730000,2023-03-01,ECU,1,0.50
-1.010000,-90.870000,2023-03-06,ECU,1,0.83
-0.760000,-90.460000,2023-03-31,ECU,1,0.90
-0.380000,-90.410000,2023-03-07,ECU,1,2.50
-0.860000,-90.680000,2023-03-03,ECU,1,0.75
-0.180000,-90.840000,2023-04-20,ECU,1,0.32
-0.950000,-89.400000,2023-04-12,ECU,1,0.83
-3.970000,-91.660000,2023-04-10,ECU,1,1.01
-3.720000,-90.020000,2023-04-05,ECU,1,1.87
-0.320000,-93.760000,2023-04-12,ECU,1,0.97
-0.240000,-93.260000,2023-04-27,ECU,1,1.01
-0.460000,-93.560000,2023-04-26,ECU,1,0.99
-0.900000,-93.860000,2023-04-25,ECU,1,0.98
-0.870000,-93.920000,2023-04-25,ECU,1,1.02
-0.320000,-90.890000,2023-04-04,ECU,1,0.75
-0.330000,-90.900000,2023-04-03,ECU,1,1.00
-0.610000,-90.760000,2023-04-01,ECU,1,0.38
-0.370000,-93.960000,2023-04-03,PAN,1,0.18
-0.940000,-93.680000,2023-04-12,ECU,1,0.42
-4.280000,-88.210000,2023-04-04,ECU,1,1.81
1.390000,-93.230000,2023-05-18,ECU,1,0.11
0.960000,-93.140000,2023-05-17,ECU,1,1.16
1.360000,-93.310000,2023-05-14,ECU,1,1.09
0.270000,-93.940000,2023-05-20,ECU,1,1.02
0.480000,-94.020000,2023-05-28,ECU,1,0.79
0.910000,-94.240000,2023-05-29,ECU,1,0.09
1.810000,-93.920000,2023-05-25,ECU,1,1.88
0.920000,-94.190000,2023-05-26,ECU,1,1.13
1.050000,-93.700000,2023-05-13,ECU,1,1.07
1.310000,-93.620000,2023-05-19,ECU,1,1.21
0.880000,-93.480000,2023-05-02,ECU,1,0.70
0.910000,-93.390000,2023-05-02,ECU,1,1.56
1.970000,-93.950000,2023-05-27,ECU,1,0.15
