Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
2023-01-10,ECU,DONA ROGE,2023-01-10T10:00:00Z,2023-10-07T11:00:00Z,TUNA_PURSE_SEINES,FISHING,735057685,,HC4301,2020-09-07T16:27:31Z,2024-10-21T03:13:40Z,1.49
2023-04-15,ECU,TINTORERA,2023-01-03T13:00:00Z,2023-04-15T17:00:00Z,FISHING,FISHING,735059515,,HC-5964,2020-05-31T16:10:36Z,2024-03-08T18:17:43Z,0.50
2023-06-13,ECU,DONA ROGE,2023-01-10T10:00:00Z,2023-10-07T11:00:00Z,TUNA_PURSE_SEINES,FISHING,735057685,,HC4301,2020-09-07T16:27:31Z,2024-10-21T03:13:40Z,1.15
2023-07-13,ECU,GRAND KNIGHT,2023-05-25T23:00:00Z,2023-07-13T11:00:00Z,DRIFTING_LONGLINES,FISHING,735058937,,HC5259,2022-07-29T23:58:42Z,2023-08-06T02:33:27Z,11.26
2023-08-06,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,8.31
2023-09-12,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,11.88
2023-11-30,ESP,PEDRO XIBANO,2023-11-30T10:00:00Z,2023-11-30T10:00:00Z,DRIFTING_LONGLINES,FISHING,224063790,9150559,EA2540,2015-03-06T10:56:40Z,2024-11-12T23:58:25Z,0.25
2023-11-14,ECU,LUCY,2023-02-21T21:00:00Z,2023-12-21T19:00:00Z,TUNA_PURSE_SEINES,FISHING,735057557,,HC2723,2021-01-18T22:20:06Z,2024-11-12T23:59:27Z,0.85
2023-10-02,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,0.79
2023-10-25,ECU,LA AHIJADA,2023-10-11T23:00:00Z,2023-12-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,735055123,,HC4047,2023-10-07T15:51:34Z,2024-11-12T17:04:05Z,12.90
2023-11-14,ESP,SOCYO,2023-11-13T23:00:00Z,2023-11-14T02:00:00Z,DRIFTING_LONGLINES,FISHING,224118000,9832884,EANN,2017-10-18T09:02:06Z,2024-11-12T23:53:16Z,1.76
2023-12-19,ECU,REY DE ARCA,2023-10-13T15:00:00Z,2023-12-19T21:00:00Z,DRIFTING_LONGLINES,FISHING,735058725,,HC4440,2023-10-06T04:35:05Z,2024-11-12T20:02:10Z,3.98
2023-02-24,ECU,B/P GLORIA,2023-02-24T09:00:00Z,2023-10-10T17:00:00Z,TUNA_PURSE_SEINES,FISHING,735057560,,HC-2396,2022-01-07T14:33:54Z,2023-10-13T14:31:00Z,0.16
2023-04-07,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,5.81
2023-09-02,ECU,SAN ANTONIO 1,2023-08-02T14:00:00Z,2023-12-31T00:00:00Z,DRIFTING_LONGLINES,FISHING,735060242,,HC6568,2023-07-28T00:55:47Z,2024-10-28T04:09:13Z,9.48
2023-09-18,ECU,MIRY ANN D,2023-09-17T09:00:00Z,2023-11-01T12:00:00Z,TUNA_PURSE_SEINES,FISHING,735057639,7048130,HC-4609,2023-07-03T17:06:46Z,2024-11-12T23:58:25Z,14.25
2023-09-17,ECU,MIRY ANN D,2023-09-17T09:00:00Z,2023-11-01T12:00:00Z,TUNA_PURSE_SEINES,FISHING,735057639,7048130,HC-4609,2023-07-03T17:06:46Z,2024-11-12T23:58:25Z,2.53
2023-10-18,ECU,GRINGA JACKY,2023-10-18T18:00:00Z,2023-12-28T16:00:00Z,FISHING,FISHING,735059445,,HC-5897,2023-08-20T04:07:54Z,2024-11-09T22:16:13Z,1.83
