lat,lon,MODISA_L3m_SST4_Monthly_9km_R2019_0_sst4
-55.79166793823242,-71.375,6.7289996
-55.79166793823242,-71.29166412353516,6.799
-55.79166793823242,-71.20833587646484,6.812
-55.79166793823242,-71.125,6.759
-55.79166793823242,-71.04166412353516,6.829
-55.79166793823242,-70.95833587646484,6.9059997
-55.79166793823242,-70.875,7.0709996
-55.79166793823242,-70.79166412353516,7.145
-55.79166793823242,-70.70833587646484,7.207
-55.79166793823242,-70.625,7.2679996
-55.79166793823242,-70.54166412353516,7.5599995
-55.79166793823242,-70.45833587646484,7.804
-55.79166793823242,-70.375,8.077
-55.79166793823242,-70.29166412353516,8.375999
-55.79166793823242,-70.20833587646484,8.437
-55.79166793823242,-70.125,8.526
-55.79166793823242,-70.04166412353516,8.511
-55.79166793823242,-69.95833587646484,8.485
-55.79166793823242,-69.875,8.500999
-55.79166793823242,-69.79166412353516,8.528
-55.79166793823242,-69.70833587646484,8.632999
-55.79166793823242,-69.625,8.589
-55.79166793823242,-69.54166412353516,8.69
-55.79166793823242,-69.45833587646484,8.738999
-55.79166793823242,-69.375,8.705999
-55.79166793823242,-69.29166412353516,8.712
-55.79166793823242,-69.20833587646484,8.682
-55.79166793823242,-69.125,8.623
-55.79166793823242,-69.04166412353516,8.578
-55.79166793823242,-68.95833587646484,8.584
-55.79166793823242,-68.875,8.566999
-55.79166793823242,-68.79166412353516,8.603
-55.79166793823242,-68.70833587646484,8.572
-55.79166793823242,-68.625,8.485
-55.79166793823242,-68.54166412353516,8.382999
-55.79166793823242,-68.45833587646484,8.593
-55.79166793823242,-68.375,8.539
-55.79166793823242,-68.29166412353516,8.507
-55.79166793823242,-68.20833587646484,8.563
-55.79166793823242,-68.125,8.559
-55.79166793823242,-68.04166412353516,8.563
-55.79166793823242,-67.95833587646484,8.547
-55.79166793823242,-67.875,8.500999
-55.79166793823242,-67.79166412353516,8.507
-55.79166793823242,-67.70833587646484,8.481999
-55.79166793823242,-67.625,8.46
-55.79166793823242,-67.54166412353516,8.528
-55.79166793823242,-67.45833587646484,8.436
-55.79166793823242,-67.375,8.309
-55.79166793823242,-67.29166412353516,8.271999
-55.79166793823242,-67.20833587646484,8.215
-55.79166793823242,-67.125,8.349
-55.79166793823242,-67.04166412353516,8.404
-55.79166793823242,-66.95833587646484,8.34
-55.79166793823242,-66.875,8.318
-55.79166793823242,-66.79166412353516,8.299
-55.79166793823242,-66.70833587646484,8.252
-55.79166793823242,-66.625,8.21
-55.79166793823242,-66.54166412353516,8.042
-55.79166793823242,-66.45833587646484,7.94
-55.79166793823242,-66.375,7.777
-55.79166793823242,-66.29166412353516,7.549
-55.79166793823242,-66.20833587646484,7.2419996
-55.79166793823242,-66.125,7.086
-55.79166793823242,-66.04166412353516,6.8129997
-55.79166793823242,-65.95833587646484,6.6019998
-55.79166793823242,-65.875,6.47
-55.79166793823242,-65.79166412353516,6.5039997
-55.79166793823242,-65.70833587646484,6.5639997
-55.79166793823242,-65.625,6.523
-55.79166793823242,-65.54166412353516,6.441
-55.79166793823242,-65.45833587646484,6.351
-55.79166793823242,-65.375,6.3919997
-55.79166793823242,-65.29166412353516,6.3799996
-55.79166793823242,-65.20833587646484,6.322
-55.79166793823242,-65.125,6.283
-55.79166793823242,-65.04166412353516,6.285
-55.79166793823242,-64.95833587646484,6.205
-55.79166793823242,-64.875,6.15
-55.79166793823242,-64.79166412353516,6.121
-55.79166793823242,-64.70833587646484,6.0629997
-55.79166793823242,-64.625,5.937
-55.79166793823242,-64.54166412353516,5.8919997
-55.79166793823242,-64.45833587646484,5.914
-55.79166793823242,-64.375,5.883
-55.79166793823242,-64.29166412353516,5.7409997
-55.79166793823242,-64.20833587646484,5.644
-55.79166793823242,-64.125,5.6289997
-55.79166793823242,-64.04166412353516,5.628
-55.79166793823242,-63.95833206176758,5.6429996
-55.79166793823242,-63.874996185302734,5.665
-55.79166793823242,-63.79166030883789,5.628
-55.79166793823242,-63.70833206176758,5.634
-55.79166793823242,-63.624996185302734,5.678
-55.79166793823242,-63.54166030883789,5.738
-55.79166793823242,-63.45833206176758,5.7599998
-55.79166793823242,-63.374996185302734,5.764
-55.79166793823242,-63.29166030883789,5.753
-55.79166793823242,-63.20833206176758,5.7349997
-55.79166793823242,-63.124996185302734,5.7079997
-55.79166793823242,-63.04166030883789,5.7419996
-55.79166793823242,-62.95833206176758,5.778
-55.79166793823242,-62.874996185302734,5.765
-55.79166793823242,-62.79166030883789,5.735
-55.79166793823242,-62.70833206176758,5.703
-55.79166793823242,-62.624996185302734,5.6879997
-55.79166793823242,-62.54166030883789,5.716
-55.79166793823242,-62.45833206176758,5.776
-55.79166793823242,-62.374996185302734,5.838
-55.79166793823242,-62.29166030883789,5.8789997
-55.79166793823242,-62.20833206176758,5.851
-55.79166793823242,-62.124996185302734,5.8659997
-55.79166793823242,-62.04166030883789,5.917
-55.79166793823242,-61.95833206176758,5.995
-55.79166793823242,-61.874996185302734,6.048
-55.79166793823242,-61.79166030883789,5.995
-55.79166793823242,-61.70833206176758,5.963
-55.79166793823242,-61.624996185302734,5.944
-55.79166793823242,-61.54166030883789,5.917
-55.79166793823242,-61.45833206176758,5.908
-55.79166793823242,-61.374996185302734,5.878
-55.79166793823242,-61.29166030883789,5.854
-55.79166793823242,-61.20833206176758,5.9309998
-55.79166793823242,-61.124996185302734,5.926
-55.79166793823242,-61.04166030883789,5.91
-55.79166793823242,-60.95833206176758,5.97
-55.79166793823242,-60.874996185302734,6.038
-55.79166793823242,-60.79166030883789,6.059
-55.79166793823242,-60.70833206176758,5.963
-55.79166793823242,-60.624996185302734,6.025
-55.79166793823242,-60.54166030883789,6.009
-55.79166793823242,-60.45833206176758,6.0559998
-55.79166793823242,-60.374996185302734,6.127
-55.79166793823242,-60.29166030883789,6.239
-55.79166793823242,-60.20833206176758,6.0429997
-55.79166793823242,-60.124996185302734,6.0369997
-55.79166793823242,-60.04166030883789,6.052
-55.79166793823242,-59.95833206176758,6.055
-55.79166793823242,-59.874996185302734,6.125
-55.79166793823242,-59.79166030883789,6.19
-55.79166793823242,-59.70833206176758,6.225
-55.79166793823242,-59.624996185302734,6.309
-55.79166793823242,-59.54166030883789,6.3919997
-55.79166793823242,-59.45833206176758,6.404
-55.79166793823242,-59.374996185302734,6.4259996
-55.79166793823242,-59.29166030883789,6.448
-55.79166793823242,-59.20833206176758,6.411
-55.79166793823242,-59.124996185302734,6.42
-55.79166793823242,-59.04166030883789,6.4259996
-55.79166793823242,-58.95833206176758,6.435
-55.79166793823242,-58.874996185302734,6.473
-55.79166793823242,-58.79166030883789,6.508
-55.79166793823242,-58.70833206176758,6.541
-55.79166793823242,-58.624996185302734,6.527
-55.79166793823242,-58.54166030883789,6.515
-55.79166793823242,-58.45833206176758,6.548
-55.79166793823242,-58.374996185302734,6.659
-55.79166793823242,-58.29166030883789,6.703
-55.79166793823242,-58.20833206176758,6.685
-55.79166793823242,-58.124996185302734,6.686
-55.79166793823242,-58.04166030883789,6.6619997
-55.79166793823242,-57.95833206176758,6.633
-55.79166793823242,-57.874996185302734,6.5959997
-55.79166793823242,-57.79166030883789,6.562
-55.79166793823242,-57.70833206176758,6.5439997
-55.79166793823242,-57.624996185302734,6.5829997
-55.79166793823242,-57.54166030883789,6.601
-55.79166793823242,-57.45833206176758,6.6029997
-55.79166793823242,-57.374996185302734,6.5889997
-55.79166793823242,-57.29166030883789,6.578
-55.79166793823242,-57.20833206176758,6.5499997
-55.79166793823242,-57.124996185302734,6.513
-55.79166793823242,-57.04166030883789,6.444
-55.79166793823242,-56.95833206176758,6.427
-55.79166793823242,-56.874996185302734,6.467
-55.79166793823242,-56.79166030883789,6.4909997
-55.79166793823242,-56.70833206176758,6.487
-55.79166793823242,-56.624996185302734,6.505
-55.79166793823242,-56.54166030883789,6.4509997
-55.79166793823242,-56.45833206176758,6.3929996
-55.79166793823242,-56.374996185302734,6.367
-55.79166793823242,-56.29166030883789,6.351
-55.79166793823242,-56.20833206176758,6.349
-55.79166793823242,-56.124996185302734,6.317
-55.79166793823242,-56.04166030883789,6.194
-55.79166793823242,-55.95833206176758,6.2009997
-55.79166793823242,-55.874996185302734,6.16
-55.79166793823242,-55.79166030883789,6.106
-55.79166793823242,-55.70833206176758,6.026
-55.79166793823242,-55.624996185302734,5.9319997
-55.79166793823242,-55.54166030883789,5.859
-55.79166793823242,-55.45833206176758,5.719
-55.79166793823242,-55.374996185302734,5.4849997
-55.79166793823242,-55.29166030883789,5.277
-55.79166793823242,-55.20833206176758,5.128
-55.79166793823242,-55.124996185302734,5.075
-55.79166793823242,-55.04166030883789,5.0179996
-55.79166793823242,-54.95833206176758,5.0579996
-55.79166793823242,-54.874996185302734,5.064
-55.79166793823242,-54.79166030883789,4.9509997
-55.79166793823242,-54.70833206176758,4.868
-55.79166793823242,-54.624996185302734,4.795
-55.79166793823242,-54.54166030883789,4.7339997
-55.79166793823242,-54.45833206176758,4.66
-55.79166793823242,-54.374996185302734,4.679
-55.79166793823242,-54.29166030883789,4.653
-55.79166793823242,-54.20833206176758,4.5769997
-55.79166793823242,-54.124996185302734,4.59
-55.79166793823242,-54.04166030883789,4.58
-55.79166793823242,-53.95833206176758,4.587
-55.79166793823242,-53.874996185302734,4.578
-55.70833969116211,-71.375,6.712
-55.70833969116211,-71.29166412353516,6.7889996
-55.70833969116211,-71.20833587646484,6.8669996
-55.70833969116211,-71.125,6.941
-55.70833969116211,-71.04166412353516,6.983
-55.70833969116211,-70.95833587646484,7.0399995
-55.70833969116211,-70.875,7.0969996
-55.70833969116211,-70.79166412353516,7.2209997
-55.70833969116211,-70.70833587646484,7.4639997
-55.70833969116211,-70.625,7.679
-55.70833969116211,-70.54166412353516,7.948
-55.70833969116211,-70.45833587646484,8.172999
-55.70833969116211,-70.375,8.4279995
-55.70833969116211,-70.29166412353516,8.615
-55.70833969116211,-70.20833587646484,8.802
-55.70833969116211,-70.125,8.789
-55.70833969116211,-70.04166412353516,8.638
-55.70833969116211,-69.95833587646484,8.5789995
-55.70833969116211,-69.875,8.545
-55.70833969116211,-69.79166412353516,8.44
-55.70833969116211,-69.70833587646484,8.474999
-55.70833969116211,-69.625,8.476
-55.70833969116211,-69.54166412353516,8.573999
-55.70833969116211,-69.45833587646484,8.589
-55.70833969116211,-69.375,8.523
-55.70833969116211,-69.29166412353516,8.497
-55.70833969116211,-69.20833587646484,8.534
-55.70833969116211,-69.125,8.535999
-55.70833969116211,-69.04166412353516,8.488999
-55.70833969116211,-68.95833587646484,8.474
-55.70833969116211,-68.875,8.507999
-55.70833969116211,-68.79166412353516,8.607
-55.70833969116211,-68.70833587646484,8.562
-55.70833969116211,-68.625,8.586
-55.70833969116211,-68.54166412353516,8.58
-55.70833969116211,-68.45833587646484,8.5199995
-55.70833969116211,-68.375,8.528
-55.70833969116211,-68.29166412353516,8.505
-55.70833969116211,-68.20833587646484,8.462999
-55.70833969116211,-68.125,8.481999
-55.70833969116211,-68.04166412353516,8.473
-55.70833969116211,-67.95833587646484,8.47
-55.70833969116211,-67.875,8.488
-55.70833969116211,-67.79166412353516,8.49
-55.70833969116211,-67.70833587646484,8.448
-55.70833969116211,-67.625,8.495999
-55.70833969116211,-67.54166412353516,8.540999
-55.70833969116211,-67.45833587646484,8.94
-55.70833969116211,-67.375,8.284
-55.70833969116211,-67.29166412353516,8.306999
-55.70833969116211,-67.20833587646484,8.365
-55.70833969116211,-67.125,8.4279995
-55.70833969116211,-67.04166412353516,8.425
-55.70833969116211,-66.95833587646484,8.408999
-55.70833969116211,-66.875,8.407
-55.70833969116211,-66.79166412353516,8.365
-55.70833969116211,-66.70833587646484,8.433
-55.70833969116211,-66.625,8.413
