Fecha;Tumbes;Paita;San_Jose;Chicama;Huanchaco;Chimbote;Huacho;Callao;Pisco;Marcona;Camana;Ilo
1/01/2000;4.4;4;2.3;3.9;3.9;3.8;2.9;3.4;5.3;6.5;3.7;4
2/01/2000;5;4.8;1.3;1.3;1.4;2.6;3.4;3.9;5;7.9;5.5;3.7
3/01/2000;4;3.9;3.3;1.9;1.9;3.7;3.6;3;4.4;6.7;3.4;4
3/01/2000;5.7;3.8;3.9;2.4;2;3.2;3.1;4.1;4;7.3;4.5;2.8
4/01/2000;2.4;3.1;4.5;3.4;4;4.1;3.2;3;4;4.9;2.2;1.9
5/01/2000;2.5;2.7;2.8;1.8;1.5;2;1.4;1.7;3.2;4;2.6;2.6
6/01/2000;4.1;4.1;2.8;4.1;4.8;2.5;2.6;3.2;4.9;4.4;3.4;4
7/01/2000;6.6;3.4;1.7;1.3;1.2;2;1.9;4.3;5.4;5.9;4.1;4.1
8/01/2000;8.4;3.1;3;2.5;2.1;2.7;4.1;4.5;5;5.1;3.8;3.1
9/01/2000;1.9;1.9;2.1;1.6;1.7;2.7;1.9;2.2;4.4;5.4;3.2;3.8
10/01/2000;2.8;3.9;2.1;1.2;1.5;2.5;2;1.1;2.8;4.9;3.2;2.9
11/01/2000;3.8;6.5;4.5;3.9;2.5;2.6;2.6;4;2.3;4.8;2.7;1.5
12/01/2000;4.6;5.6;5.1;3.4;3.3;3.1;4.3;3.5;5.2;6.2;3.9;2.2
13/01/2000;6.1;4.2;0.9;1.5;1.4;2.4;2.8;3;5.4;6.8;4.3;3.5
14/01/2000;6.2;4.4;2.6;3.2;2.9;2.4;4.4;2.8;2.6;3.9;1.4;2.2
15/01/2000;4.2;3.9;4.2;4.6;3.7;2.4;2.4;2.2;1.5;2.5;2.1;2.9
16/01/2000;4.4;5.4;3.6;3.4;2.6;1.4;1.7;1.4;2.3;5.8;1.5;1.4
17/01/2000;2.9;3.6;1.1;1.1;1.6;1.2;2.3;1.3;2.7;6.2;4.5;3
18/01/2000;3.1;4.4;1.8;1.7;2.4;1.9;3.1;3.4;3.7;6.6;6.6;4.3
19/01/2000;4.7;5.7;2.8;2.7;2.1;2.8;4.5;4.9;5.9;8.2;6.4;3.3
20/01/2000;1.1;1.9;2.8;2.1;2.2;2.9;4.3;4.2;7;8.2;3.5;2.2
21/01/2000;2.1;2;1.5;2.1;2.1;1;3;2.3;1.9;5.1;2.5;2.1
22/01/2000;3.2;2.9;2.8;1.4;2.1;2.8;4.7;3.1;1.5;2.4;0.8;0.7
23/01/2000;4.4;4.5;2.4;2.1;3;3;2.6;2.3;1;1.7;1.6;1.7
24/01/2000;3;1.7;3.1;2.6;2.8;2.8;2.5;1.4;3.1;6.4;2.6;2.9
25/01/2000;3.5;1.6;0.5;1.1;1.9;0.5;0.5;2.1;2.2;7;5.9;4.6
26/01/2000;4.1;0.5;0.6;1.5;1.6;1.1;2.1;3.4;4;6.2;2.9;1.8
27/01/2000;2.6;1.1;1.7;1.5;1.1;2.4;2.1;0.6;2.1;3.8;1.6;3.4
28/01/2000;2.2;2.8;3;2.4;2.9;4.2;3.2;2.8;4.4;4;1.6;2.3
29/01/2000;2.1;2;2.8;2.8;2.9;3.5;1.8;0.9;1.8;3.8;3.2;4.9
30/01/2000;0.6;2.4;0.9;0.6;0.9;1.4;1.2;0.6;0.9;2.5;2.7;4.2
31/01/2000;4;3.9;3.4;2.6;2;1.8;2.4;1.6;2.8;3.6;3.7;4.7
1/02/2000;1.5;4;1.7;2.9;2.8;1.7;2.8;1.2;3.2;5;4.6;5.1
2/02/2000;3.2;2.1;1.2;2.5;2.7;1.8;1;1.7;4.6;6.9;6.1;5.6
3/02/2000;4.1;3.3;1.5;1.3;2.6;0.8;1.3;3.9;4.1;2.9;2.8;3.3
4/02/2000;3.9;7.1;4.9;4.2;4;3.8;1.7;0.9;3.6;2.7;3.8;5.1
5/02/2000;1.1;4.1;3.2;2.9;2.1;3.6;2.9;2.3;4.9;4.7;4.4;3
