year, month, first_day, last_day, mean_chl_seawifs, stdev_chl_seawifs, chl_anomaly_seawifs, pct_valid_chl_seawifs, mean_chl_aqua, stdev_chl_aqua, chl_anomaly_aqua, pct_valid_chl_aqua, mean_cdm_seawifs, stdev_cdm_seawifs, cdm_anomaly_seawifs, pct_valid_cdm_seawifs, mean_cdm_aqua, stdev_cdm_aqua, cdm_anomaly_aqua, pct_valid_cdm_aqua, mean_bbp_aqua, stdev_bbp_aqua, bbp_anomaly_aqua, pct_valid_bbp_aqua, mean_nsst_aqua, stdev_nsst_aqua, nsst_anomaly_aqua, pct_valid_nsst_aqua
1997,1,1,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,2,1,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,3,1,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,4,1,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,5,1,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,6,1,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,7,1,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,8,1,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,9,1,30,0.045246048,0.013202285,-0.00361294,74.3,-999,-999,-999,-999,0.004101354,0.000310767,-0.000581411,90.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,10,1,31,0.050098557,0.012088361,0.003331317,93.94,-999,-999,-999,-999,0.004678209,0.000515531,0.000300476,93.94,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,11,1,30,0.036418568,0.01566636,-0.008337926,72,-999,-999,-999,-999,0.004252601,0.000392783,9.62E-05,72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1997,12,1,31,0.046204803,0.017478094,-0.00123148,54.79,-999,-999,-999,-999,0.00458493,0.000589421,0.000308448,54.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,1,1,31,0.027777364,0.014379524,-0.013157783,95.94,-999,-999,-999,-999,0.003909868,0.000446722,-0.000103861,95.88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,1,28,0.034512976,0.017425331,-0.009236467,80.85,-999,-999,-999,-999,0.003796982,0.000513347,-0.000285658,80.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,1,31,0.042012699,0.02181379,-0.001356951,88.73,-999,-999,-999,-999,0.004291558,0.000552718,0.000205432,88.73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,1,30,0.04670957,0.022055332,0.002384337,87.88,-999,-999,-999,-999,0.004727661,0.000899045,0.000534195,87.88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,5,1,31,0.044993484,0.013368746,-0.005896041,95.64,-999,-999,-999,-999,0.004672664,0.000577029,5.56E-05,95.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,6,1,30,0.055118254,0.018006118,-1.25E-05,91.27,-999,-999,-999,-999,0.005102283,0.000611069,-8.59E-06,91.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,7,1,31,0.05011101,0.013623218,-0.005077925,96.18,-999,-999,-999,-999,0.005248803,0.000597344,-0.000177017,96.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,8,1,31,0.063689939,0.019891779,0.011157758,94.18,-999,-999,-999,-999,0.005998305,0.000872263,0.000789976,94.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,9,1,30,0.053278029,0.013179758,0.004306859,97.33,-999,-999,-999,-999,0.004977824,0.00040558,0.00028059,97.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,10,1,31,0.049674483,0.019530088,0.00289295,92.61,-999,-999,-999,-999,0.004581076,0.000445312,0.000207869,92.61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,11,1,30,0.04316038,0.019967436,-0.001532948,75.33,-999,-999,-999,-999,0.004265587,0.000383243,0.000109236,75.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1998,12,1,31,0.044343526,0.0187901,-0.002505162,79.03,-999,-999,-999,-999,0.004167199,0.000429871,-6.29E-05,78.97,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,1,1,31,0.044231806,0.018758615,0.002929794,88.06,-999,-999,-999,-999,0.004018083,0.000515828,-2.30E-05,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,2,1,28,0.038861887,0.040569348,-0.005329967,93.27,-999,-999,-999,-999,0.003949393,0.000926353,-0.000173457,93.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,3,1,31,0.042969649,0.012948997,-0.000405193,96.85,-999,-999,-999,-999,0.003988415,0.00047024,-9.54E-05,96.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,4,1,30,0.039782351,0.010092661,-0.004514211,97.39,-999,-999,-999,-999,0.003933977,0.000380243,-0.000254344,97.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,5,1,31,0.046719316,0.013480314,-0.004181774,96.3,-999,-999,-999,-999,0.004327203,0.000411451,-0.000287126,96.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,6,1,30,0.051630621,0.010236189,-0.003681057,97.45,-999,-999,-999,-999,0.005054922,0.00039313,-6.25E-05,97.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,7,1,31,0.065847767,0.02057907,0.009935459,97.21,-999,-999,-999,-999,0.005927918,0.000984296,0.000496028,97.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
